"nation","year_to_survive_to","deferral_reduction","idu_type","deferral_effect_year","calibration_prevalence_1991","donor_non_clearance","contamination_constant","contamination_constant_prop","units_per_donation_scenario","trans_survival_years","hepc_survival_hazard","survivor_non_clearance","trans_survival_hazard_scenario","total_infected","total_chronic_infected","total_chronic_survived_transfusion","chronic_infected_survived_long_hepc_trans","died_trans_hcv","excess_deaths_hcv"
"England",2019,0.2,"past",1986,0.066,0.74,0.0165,0.25,"NBTSS",10,1,0.82,"age",14397,11806,4363,1727,10078,0
"England",2019,0.2,"past",1986,0.066,0.74,0.033,0.5,"NBTSS",10,1,0.82,"age",16298,13365,4940,1924,11441,0
"England",2019,0.2,"past",1986,0.066,0.74,0.066,1,"NBTSS",10,1,0.82,"age",20101,16483,6092,2317,14166,0
"England",2019,0.2,"past",1987,0.066,0.74,0,0,"NBTSS",10,1,0.82,"age",12695,10410,3847,1556,8853,0
"England",2019,0.2,"past",1987,0.066,0.74,0.0165,0.25,"NBTSS",10,1,0.82,"age",14546,11928,4409,1746,10181,0
"England",2019,0.2,"past",1987,0.066,0.74,0.033,0.5,"NBTSS",10,1,0.82,"age",16398,13446,4970,1937,11510,0
"England",2019,0.2,"past",1987,0.066,0.74,0.066,1,"NBTSS",10,1,0.82,"age",20101,16483,6092,2317,14166,0
"England",2019,0.33,"past",1986,0.066,0.74,0,0,"NBTSS",10,1,0.82,"none",13784,11303,4178,1771,9532,0
"England",2019,0.33,"past",1986,0.066,0.74,0.0165,0.25,"NBTSS",10,1,0.82,"none",15363,12598,4656,1941,10657,0
"England",2019,0.33,"past",1986,0.066,0.74,0.033,0.5,"NBTSS",10,1,0.82,"none",16943,13893,5135,2111,11782,0
"England",2019,0.33,"past",1986,0.066,0.74,0.066,1,"NBTSS",10,1,0.82,"none",20101,16483,6092,2451,14031,0
"England",2019,0.33,"past",1987,0.066,0.74,0,0,"NBTSS",10,1,0.82,"none",14174,11622,4296,1824,9798,0
"England",2019,0.33,"past",1987,0.066,0.74,0.0165,0.25,"NBTSS",10,1,0.82,"none",15656,12838,4745,1981,10856,0
"England",2019,0.33,"past",1987,0.066,0.74,0.033,0.5,"NBTSS",10,1,0.82,"none",17137,14053,5194,2138,11915,0
"England",2019,0.33,"past",1987,0.066,0.74,0.066,1,"NBTSS",10,1,0.82,"none",20101,16483,6092,2451,14031,0
"England",2019,0.2,"past",1986,0.066,0.74,0,0,"NBTSS",10,1,0.82,"none",12496,10247,3787,1624,8623,0
"England",2019,0.2,"past",1986,0.066,0.74,0.0165,0.25,"NBTSS",10,1,0.82,"none",14397,11806,4363,1831,9975,0
"England",2019,0.2,"past",1986,0.066,0.74,0.033,0.5,"NBTSS",10,1,0.82,"none",16298,13365,4940,2038,11327,0
"England",2019,0.2,"past",1986,0.066,0.74,0.066,1,"NBTSS",10,1,0.82,"none",20101,16483,6092,2451,14031,0
